COMPANY,SYMBOL,LISTING_DATE,STATUS,CAPTURE_DATE,LISTING_HIGH,LISTING_LOW,DETAIL
Behari Lal Engineering,BSE,2026-08-18,VERIFIED_LISTING_DAY,2026-08-18,3315.39990234375,3235.0,
Schloss Bangalore,THELEELA,2025-06-02,VERIFIED_LISTING_DAY,2025-06-02,438.8999938964844,405.0,
