COMPANY,SYMBOL,LISTING_DATE,STATUS,CAPTURE_DATE,LISTING_HIGH,LISTING_LOW,DETAIL
Dhoot Transmission,DHOOT,2026-08-18,REQUEST_ERROR,,,,HTTP_404
Behari Lal Engineering,BSE,2026-08-18,VERIFIED_LISTING_DAY,2026-08-18,3315.39990234375,3235.0,
Sah Polymers,SAH,2023-01-12,REQUEST_ERROR,,,,HTTP_404
NSDL,NSDL,2025-08-06,REQUEST_ERROR,,,,HTTP_404
Schloss Bangalore,THELEELA,2025-06-02,VERIFIED_LISTING_DAY,2025-06-02,438.8999938964844,405.0,
Standard Glass Lining,SGLTL,2025-01-13,REQUEST_ERROR,,,,HTTP_404
