SYMBOL,COMPANY,LISTING_DATE,LISTING_HIGH,LISTING_LOW,ACTUAL_FIRST_SESSION,METHOD
PYRAMID,Pyramid Technoplast,2023-08-29,188.0,177.64999389648438,,
TVSSCS,TVS Supply Chain,2023-08-23,208.60000610351562,199.0,,
CONCORDBIO,Concord Biotech,2023-08-18,987.7000122070312,900.0499877929688,,
SBFC,SBFC Finance,2023-08-16,95.44999694824219,82.0,,
YATHARTH,Yatharth Hospital,2023-08-07,343.1000061035156,306.1000061035156,,
NETWEB,Netweb Technologies,2023-07-27,952.0,876.0499877929688,,
UTKARSHBNK,Utkarsh Small Finance Bank,2023-07-21,48.0,37.20000076293945,,
SENCO,Senco Gold,2023-07-14,222.0,200.60000610351562,,
CYIENTDLM,Cyient DLM,2023-07-10,427.0,403.0,,
IDEAFORGE,IdeaForge,2023-07-07,1343.949951171875,1260.0,,
HMAAGRO,HMA Agro,2023-07-04,66.69999694824219,57.0,,
MANKIND,Mankind Pharma,2023-05-09,1430.0,1300.0,,
AVALON,Avalon Technologies,2023-04-18,436.0,387.1499938964844,,
USK,Udayshivakumar Infra,2023-04-03,31.5,29.149999618530273,,
GSLSU,Global Surfaces,2023-03-23,172.1999969482422,156.10000610351562,,
DIVGIITTS,Divgi TorqTransfer,2023-03-14,620.0,560.0,,
RADIANTCMS,Radiant Cash Management,2023-01-04,116.80000305175781,98.0999984741211,,
UNIMECH,Unimech Aerospace,2024-12-31,1485.0,1327.75,,
SENORES,Senores Pharmaceutical,2024-12-30,609.6500244140625,538.8499755859375,,
CARRARO,Carraro India,2024-12-30,682.0,631.0,,
VENTIVE,Ventive Hospitality,2024-12-30,749.0,702.0,,
CEWATER,Concord Enviro Systems,2024-12-27,860.0,801.0,,
DAMCAPITAL,DAM Capital,2024-12-27,456.8999938964844,392.95001220703125,,
SANATHAN,Sanathan Textiles,2024-12-27,423.0,382.0,,
MAMATA,Mamata Machinery,2024-12-27,630.0,600.0,,
TRANSRAILL,Transrail Lighting,2024-12-27,605.0,544.5,,
IKS,Inventurus Knowledge Solutions,2024-12-19,2031.0,1852.0999755859375,,
MOBIKWIK,One Mobikwik Systems,2024-12-18,528.0,440.0,,
VMM,Vishal Mega Mart,2024-12-18,114.4000015258789,104.0,,
SAILIFE,Sai Life Sciences,2024-12-18,780.0,650.0,,
SURAKSHA,Suraksha Diagnostic,2024-12-06,449.0,414.95001220703125,,
EIEL,Enviro Infra,2024-11-29,233.6999969482422,205.0500030517578,,
NTPCGREEN,NTPC Green Energy,2024-11-27,122.6500015258789,111.5,,
NIVABUPA,Niva Bupa Health Insurance,2024-11-14,81.0,73.51000213623047,,
SWIGGY,Swiggy,2024-11-13,465.79998779296875,391.0,,
ACMESOLAR,ACME Solar,2024-11-13,276.1000061035156,248.5,,
AFCONS,Afcons Infrastructure,2024-11-04,479.45001220703125,420.25,,
GODAVARIB,Godavari Biorefineries,2024-10-30,354.45001220703125,308.0,,
WAAREEENER,Waaree Energies,2024-10-28,2624.39990234375,2300.0,,
GARUDA,Garuda Construction,2024-10-15,120.98999786376953,100.36000061035156,,
DIFFNKG,Diffusion Engineers,2024-10-04,203.1699981689453,193.0500030517578,,
KRN,KRN Heat Exchanger,2024-10-03,513.5,450.0,,
MANBA,Manba Finance,2024-09-30,152.25,144.0,,
ARKADE,Arkade Developers,2024-09-24,190.0,164.8000030517578,,
WCIL,Western Carriers,2024-09-24,177.0,158.50999450683594,,
NORTHARC,Northern Arc Capital,2024-09-24,350.0,308.20001220703125,,
PNGJL,PN Gadgil Jewellers,2024-09-17,848.0,781.5,,
KROSS,Kross,2024-09-16,270.8900146484375,231.9600067138672,,
BAJAJHFL,Bajaj Housing Finance,2024-09-16,165.0,146.0,,
TOLINS,Tolins Tyres,2024-09-16,239.39999389648438,227.5,,
BALAJEE,Shree Tirupati Balajee Agro,2024-09-12,94.5,90.0,,
GALAPREC,Gala Precision,2024-09-09,757.1500244140625,721.0999755859375,,
STYLEBAAZA,Baazar Style Retail,2024-09-06,431.1499938964844,378.3999938964844,,
PREMIERENE,Premier Energies,2024-09-03,994.5499877929688,802.0999755859375,,
ORIENTTECH,Orient Technologies,2024-08-28,274.9090881347656,261.0909118652344,,
SSDL,Saraswati Saree,2024-08-20,203.6999969482422,186.0,,
UNIECOM,Unicommerce eSolutions,2024-08-13,255.99000549316406,206.0,,
OLAELEC,OLA Electric,2024-08-09,91.19999694824219,76.0,,
CEIGALL,Ceigall India,2024-08-08,424.79998779296875,383.25,,
AKUMS,Akums Drugs,2024-08-06,797.5,725.0,,
SANSTAR,Sanstar,2024-07-26,128.7899932861328,107.0999984741211,,
EMCURE,Emcure Pharma,2024-07-10,1385.0,1325.050048828125,,
BANSALWIRE,Bansal Wire,2024-07-10,372.0,336.0,,
VRAJ,Vraj Iron,2024-07-03,252.0,240.0,,
ABDL,Allied Blenders,2024-07-02,324.79998779296875,306.70001220703125,,
STANLEY,Stanley Lifestyles,2024-06-28,509.3999938964844,470.20001220703125,,
AFIL,Akme Fintrade,2024-06-26,13.335000038146973,12.699999809265137,,
DEEDEV,Dee Development,2024-06-26,365.70001220703125,310.0,,
KRONOX,Kronox Lab,2024-06-10,165.60000610351562,156.6999969482422,,
AWFIS,Awfis Space,2024-05-30,451.45001220703125,415.20001220703125,,
TBOTEK,TBO Tek,2024-05-15,1455.949951171875,1275.0,,
AADHARHFC,Aadhar Housing Finance,2024-05-15,343.70001220703125,292.0,,
INDGN,Indegene,2024-05-13,660.0,527.0999755859375,,
JNKINDIA,JNK India,2024-04-30,712.0,621.0,,
BHARTIHEXA,Bharti Hexacom,2024-04-12,880.0,755.0,,
SRM,SRM Contractors,2024-04-03,226.0,215.25,,
KRYSTAL,Krystal Integrated,2024-03-21,793.7999877929688,703.0499877929688,,
PVSL,Popular Vehicles,2024-03-19,289.20001220703125,262.3999938964844,,
GOPAL,Gopal Snacks,2024-03-14,384.79998779296875,341.79998779296875,,
JGCHEM,JG Chemicals,2024-03-13,213.75,181.3000030517578,,
RKSWAMY,R K Swamy,2024-03-12,284.8999938964844,243.0,,
MUKKA,Mukka Proteins,2024-03-07,42.25,38.25,,
PLATIND,Platinum Industries,2024-03-05,236.25,221.0,,
EXICOM,Exicom Tele-Systems,2024-03-05,274.5,219.0,,
GPTHEALTH,GPT Healthcare,2024-02-29,219.89999389648438,196.10000610351562,,
JUNIPER,Juniper Hotels,2024-02-28,401.5,365.0,,
VSTL,Vibhor Steel,2024-02-20,446.25,420.0,,
ENTERO,Entero Healthcare,2024-02-16,1258.0,1141.0,,
RPTECH,Rashi Peripherals,2024-02-14,342.70001220703125,318.0,,
CAPITALSFB,Capital Small Finance Bank,2024-02-14,462.8999938964844,421.0,,
JSFB,Jana Small Finance Bank,2024-02-14,409.0,365.0,,
PARKHOTELS,Apeejay Surrendra Park Hotels,2024-02-12,223.1999969482422,171.25,,
BLSE,BLS E-Services,2024-02-06,366.0,303.1000061035156,,
NOVAAGRI,Nova Agri,2024-01-31,57.75,55.0,,
EPACK,EPACK Durable,2024-01-30,224.5,206.1999969482422,,
MEDIASSIST,Medi Assist Healthcare,2024-01-23,518.0,445.0,,
JYOTICNC,Jyoti CNC,2024-01-16,444.0,368.0,,
GKSL,Gujarat Kidney Super Speciality,2025-12-30,123.0,102.9000015258789,,
KSHINTL,KSH International,2025-12-23,370.25,350.0,,
PARKHOSPS,Park Medi World,2025-12-17,165.8699951171875,146.92999267578125,,
CORONA,Corona Remedies,2025-12-15,1497.800048828125,1413.0,,
WAKEFIT,Wakefit Innovations,2025-12-15,203.5,177.0,,
VIDYAWIRES,Vidya Wires,2025-12-10,58.45000076293945,50.0,,
MEESHO,Meesho,2025-12-10,177.49000549316406,162.0,,
AEQUS,Aequs,2025-12-10,157.0,135.39999389648438,,
SUDEEPPHRM,Sudeep Pharma,2025-11-28,795.0,725.0,,
EXCELSOFT,Excelsoft Technologies,2025-11-26,142.58999633789062,125.12999725341797,,
CAPILLARY,Capillary Technologies,2025-11-21,633.9000244140625,570.0499877929688,,
TENNIND,Tenneco Clean Air,2025-11-19,517.0,480.1000061035156,,
PWL,Physicswallah,2025-11-18,161.99000549316406,137.35000610351562,,
EMMVEE,Emmvee Photovoltaic,2025-11-18,227.7100067138672,207.0,,
PINELABS,Pine Labs,2025-11-14,284.0,234.1699981689453,,
STUDDS,Studds Accessories,2025-11-07,585.0,557.0,,
ORKLAINDIA,Orkla India,2025-11-06,760.0,692.5499877929688,,
MIDWESTLTD,Midwest,2025-10-24,1190.0,1129.0999755859375,,
CANHLIFE,Canara HSBC Life,2025-10-17,112.80000305175781,106.0,,
RUBICON,Rubicon Research,2025-10-16,639.0,587.3499755859375,,
CRAMC,Canara Robeco,2025-10-16,318.0,280.25,,
LGEINDIA,LG Electronics,2025-10-14,1749.0,1650.0,,
TATACAP,Tata Capital,2025-10-13,333.0,326.25,,
WEWORK,WeWork India,2025-10-10,650.1500244140625,614.25,,
ADVANCE,Advance Agrolife,2025-10-08,114.5,108.30000305175781,,
OMFREIGHT,Om Freight Forwarders,2025-10-08,85.56999969482422,81.0999984741211,,
GLOTTIS,Glottis,2025-10-07,93.0,81.16999816894531,,
FABTECH,Fabtech Technologies,2025-10-07,192.5,182.39999389648438,,
PACEDIGITK,Pace Digitek,2025-10-06,231.0,207.0,,
JKIPL,Jinkushal Industries,2025-10-03,126.94999694824219,118.75,,
BMWVENTLTD,BMW Ventures,2025-10-01,78.0,74.0999984741211,,
STYL,Seshaasai Technologies,2025-09-30,437.45001220703125,406.0,,
ARSSBL,Anand Rathi Share,2025-09-30,458.70001220703125,431.0,,
SOLARWORLD,Solarworld Energy,2025-09-30,388.5,320.5,,
ATLANTAELE,Atlanta Electricals,2025-09-29,865.0,806.25,,
GANESHCP,Ganesh Consumer,2025-09-29,308.70001220703125,291.6499938964844,,
SAATVIKGL,Saatvik Green Energy,2025-09-26,465.0,427.29998779296875,,
GKENERGY,GK Energy,2025-09-26,174.6999969482422,165.0,,
IVALUE,iValue Infosolutions,2025-09-25,298.3500061035156,274.04998779296875,,
VMSTMT,VMS TMT,2025-09-24,105.0,99.6500015258789,,
EUROPRATIK,Euro Pratik Sales,2025-09-23,278.0,247.05999755859375,,
URBANCO,Urban Company,2025-09-17,179.0,161.3699951171875,,
SHRINGARMS,Shringar House of Mangalsutra,2025-09-17,191.0,182.60000610351562,,
DEVX,Dev Accelerator,2025-09-17,64.05000305175781,59.0,,
VIKRAN,Vikran Engineering,2025-09-03,101.7699966430664,93.26000213623047,,
AHCL,Anlon Healthcare,2025-09-03,9.25,9.07800006866455,,
MEIL,Mangal Electrical,2025-08-28,566.0,527.3499755859375,,
VIKRAMSOLR,Vikram Solar,2025-08-26,381.6499938964844,333.6499938964844,,
GEMAROMA,Gem Aromatics,2025-08-26,349.6000061035156,314.6499938964844,,
SHREEJISPG,Shreeji Shipping,2025-08-26,275.0,252.1999969482422,,
PATELRMART,Patel Retail,2025-08-26,305.0,285.54998779296875,,
REGAAL,Regaal Resources,2025-08-20,145.6999969482422,130.25,,
BLUESTONE,BlueStone Jewellery,2025-08-19,564.0,508.1000061035156,,
JSWCEMENT,JSW Cement,2025-08-14,154.77000427246094,145.0500030517578,,
ALLTIME,All Time Plastics,2025-08-14,325.0,280.6499938964844,,
HILINFRA,Highway Infrastructure,2025-08-12,120.75,115.0,,
LOTUSDEV,Sri Lotus Developers,2025-08-06,195.8000030517578,176.6999969482422,,
MBEL,M&B Engineering,2025-08-06,418.79998779296875,373.5,,
CPPLUS,Aditya Infotech,2025-08-05,1104.0,1015.0,,
LAXMIINDIA,Laxmi India Finance,2025-08-05,146.67999267578125,132.97999572753906,,
SHANTIGOLD,Shanti Gold,2025-08-01,238.36000061035156,227.10000610351562,,
BRIGHOTEL,Brigade Hotel Ventures,2025-07-31,87.83999633789062,81.0999984741211,,
INDIQUBE,IndiQube Spaces,2025-07-30,222.97000122070312,201.60000610351562,,
EBGNG,GNG Electronics,2025-07-30,359.3999938964844,325.54998779296875,,
ANTHEM,Anthem Biosciences,2025-07-21,747.0,723.0499877929688,,
SMARTWORKS,Smartworks Coworking,2025-07-17,469.25,435.0,,
TRAVELFOOD,Travel Food Services,2025-07-14,1130.0,1066.0,,
CRIZAC,Crizac,2025-07-09,309.1499938964844,275.0,,
IGCL,Indogulf Cropsciences,2025-07-03,113.0,106.0,,
HDBFS,HDB Financial Services,2025-07-02,851.4000244140625,827.1500244140625,,
SAMBHV,Sambhv Steel Tubes,2025-07-02,111.0,96.25,,
KALPATARU,Kalpataru,2025-07-01,452.79998779296875,414.0,,
ELLEN,Ellenbarrie Industrial,2025-07-01,534.5999755859375,486.0,,
GLOBECIVIL,Globe Civil Projects,2025-07-01,94.5,87.0,,
ARIS,ArisInfra Solutions,2025-06-25,208.5,171.49000549316406,,
OSWALPUMPS,Oswal Pumps,2025-06-20,652.0,622.25,,
SCODATUBES,Scoda Tubes,2025-06-04,147.0,135.10000610351562,,
PROSTARM,Prostarm Info Systems,2025-06-03,126.0,120.0,,
AEGISVOPAK,Aegis Vopak Terminals,2025-06-02,242.0,220.0,,
BELRISE,Belrise Industries,2025-05-28,102.4000015258789,91.55000305175781,,
BORANA,Borana Weaves,2025-05-27,255.14999389648438,243.0,,
ATHERENERG,Ather Energy,2025-05-06,333.0,299.1000061035156,,
QPOWER,Quality Power Electrical,2025-02-24,430.75,382.5,,
HEXT,Hexaware Technologies,2025-02-19,788.0,708.0,,
AJAXENGG,Ajax Engineering,2025-02-17,609.0,566.0,,
AGARWALEYE,Dr. Agarwal’s Health,2025-02-04,412.8999938964844,370.20001220703125,,
DENTA,Denta Water and Infra,2025-01-29,341.25,325.0,,
STALLION,Stallion India,2025-01-23,126.0,120.0,,
LAXMIDENTL,Laxmi Dental,2025-01-20,584.0,525.0,,
QUADFUTURE,Quadrant Future Tek,2025-01-14,444.0,362.1000061035156,,
INDOFARM,Indo Farm Equipment,2025-01-07,287.0,256.0,,
BLEL,Behari Lal Engineering,2026-08-19,537.0,458.70001220703125,,
SHIPROCKET,Shiprocket,2026-08-19,156.0,131.0,,
DHOOTTRANS,Dhoot Transmission,2026-08-17,1205.0,1131.0,,
MOLBIO,Molbio Diagnostics,2026-08-17,1064.75,926.3499755859375,,
TECHNOCRAF,Technocraft Ventures,2026-08-14,334.3999938964844,284.0,,
SBIFUNDS,SBI Funds Management,2026-07-21,624.9500122070312,598.2000122070312,,
ALPINETEX,Alpine Texworld,2026-07-21,105.0,99.75,,
CSM,CSM Technologies,2026-07-02,113.0,107.3499984741211,,
CORDELIA,Waterways Leisure Tourism,2026-07-01,722.7000122070312,623.0999755859375,,
CMRGREEN,CMR Green,2026-06-10,268.9599914550781,241.1999969482422,,
CMPDI,Central Mine Planning,2026-03-30,168.6999969482422,152.22000122070312,,
INNOVISION,Innovision,2026-03-23,470.0,374.20001220703125,,
CLEANMAX,Clean Max Enviro Energy,2026-03-02,960.0,768.0,,
BHARATCOAL,Bharat Coking Coal,2026-01-19,45.09000015258789,40.119998931884766,,
JNPR,Juniper Green Energy,2026-08-06,264.3599853515625,247.0,2026-08-07,fallback_session
MEDANTA,Global Health (Medanta),2022-11-16,422.79998779296875,406.6499938964844,2022-11-18,fallback_session
,Groww,2025-11-12,83.58000183105469,82.0,2025-11-12,exact
LENSKART,Lenskart Solutions,2025-11-07,413.75,356.1000061035156,2025-11-10,fallback_session
TRUALT,TruAlt Bioenergy,2025-10-03,534.5,505.6000061035156,2025-10-06,fallback_session
JAINREC,Jain Resource Recycling,2025-10-01,341.70001220703125,298.20001220703125,2025-10-06,fallback_session
EPACKPEB,EPACK Prefab,2025-10-01,199.0,184.30999755859375,2025-10-06,fallback_session
AMANTA,Amanta Healthcare,2025-09-09,149.0,141.27999877929688,2025-09-11,fallback_session
,Groww,2025-11-12,83.58000183105469,82.0,2025-11-12,exact
