COMPANY,SYMBOL,LISTING_DATE,STATUS,SOURCE,CAPTURE_DATE,LISTING_HIGH,LISTING_LOW,DETAIL
Dhoot Transmission,DHOOT,2026-08-18,REQUEST_ERROR,,,,,YAHOO:HTTP_404
Sah Polymers,SAH,2023-01-12,REQUEST_ERROR,,,,,YAHOO:HTTP_404
NSDL,NSDL,2025-08-06,REQUEST_ERROR,,,,,YAHOO:HTTP_404
Standard Glass Lining,SGLTL,2025-01-13,REQUEST_ERROR,,,,,YAHOO:HTTP_404
