MASTER_COMPANY,MASTER_SYMBOL,MASTER_LISTING_DATE,LEVEL_COMPANY,LEVEL_SYMBOL,LEVEL_LISTING_DATE,MATCH_SCORE
Dhoot Transmission,DHOOT,2026-08-18,Dhoot Transmission,DHOOTTRANS,2026-08-17,100
Behari Lal Engineering,BEHA,2026-08-18,Behari Lal Engineering,BLEL,2026-08-19,100
Aeroplane Basmati,,2026-04-02,Aeroplane Basmati,AEROPLANE,2026-05-05,100
